email_id,true_category,predicted_category,intent_confidence,attempts,final_composite,passed_threshold,final_reply
E0018,Billing,Billing,0.875,1,90,True,"Happy to help, Elena Reyes — you can download the invoice for order ORD-30861 anytime from Billing > Invoices in your account, and I've also attached a PDF copy here for your records."
E0019,Billing,Billing,0.875,1,79,True,"Sorry about that, Renee Singh — I can confirm order ORD-13365 shows two charges of $391.2. I've reversed the duplicate charge; it will reflect on your statement within 3-5 business days, and the original charge remains as normal."
E0020,Login,Login,0.873,1,75,True,"Sorry about that, Marcus Oliveira — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward."
E0021,Product Feedback,Product Feedback,0.874,2,66,False,"I'm sorry — two weeks with no clear update isn't acceptable, Dana Kowalski, and I understand the frustration. I'm escalating this to engineering today rather than routing it back into the general queue, and I'll personally follow up within 24 hours with a real update."
E0022,Cancellation,Cancellation,0.871,1,85,True,"Done, Elena Novak — since order ORD-27575 hasn't shipped yet I've cancelled it and started a refund of $172.31, which will post to your original payment method within 5-7 business days."
E0023,Login,Login,0.875,1,68,True,"Sorry for the trouble, Mei Nair — this usually happens when an old session is cached. Please clear your browser cache or try a private/incognito window, then use the 'Forgot password' link once more; if it still fails, I can manually trigger a password reset from our side within the hour."
E0024,Cancellation,Cancellation,0.866,2,50,False,"Sorry to hear the reporting has fallen short, Ravi Reyes — I'd rather understand the gap than lose you over something fixable. Our higher tier includes more advanced analytics and a dedicated success manager; could we set up 20 minutes before your renewal to see if that closes the gap?"
E0025,Product Feedback,Product Feedback,0.866,1,81,True,"Thank you so much for writing in, Dana Diallo — really glad the standing desk is pulling its weight for your team. I'll pass this along, the team loves hearing this kind of thing!"
E0026,Product Feedback,Product Feedback,0.873,1,85,True,"Ha, you're not the first to ask, Noah Chen! Dark mode is a frequently requested item in our backlog, though there's no committed release date yet. I'll add your vote to the request."
E0027,Login,Login,0.875,2,51,False,"That error is expected right after a domain change, Noah Tan. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Starter plan. Let me know if it's still failing after that."
E0028,Billing,Billing,0.872,1,68,True,"Great question, Chen Tan — switching the Starter plan to annual saves roughly 15% versus monthly, and you can make the change yourself from Settings > Billing > Change Plan. The switch is prorated and takes effect at your next renewal."
E0029,Login,Login,0.869,1,68,True,"Sorry for the trouble, Maria Oliveira — this usually happens when an old session is cached. Please clear your browser cache or try a private/incognito window, then use the 'Forgot password' link once more; if it still fails, I can manually trigger a password reset from our side within the hour."
E0030,General Inquiry,General Inquiry,0.871,1,85,True,"Happy to help, Elena Kowalski — the Pro plan includes our core features plus priority support; teams above 20 seats qualify for a volume discount. Want me to send over a formal quote for 25 seats so you have exact numbers? lol"
E0031,Login,Login,0.873,1,75,True,"Sorry about that, Sam Chen — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward."
E0032,General Inquiry,General Inquiry,0.876,1,90,True,"Happy to help, Leo Oliveira — the Pro plan includes our core features plus priority support; teams above 20 seats qualify for a volume discount. Want me to send over a formal quote for 25 seats so you have exact numbers?"
E0033,General Inquiry,General Inquiry,0.862,1,75,True,"Happy to help, Mei Haddad — the Premium subscription includes our core features plus priority support; teams above 20 seats qualify for a volume discount. Want me to send over a formal quote for 25 seats so you have exact numbers?"
E0034,Refund,Refund,0.872,1,90,True,"Of course, Tariq Tan — since it's unopened we can process a full refund for order ORD-46509. Please ship it back within 30 days using the prepaid label in your account, and the $202.36 refund will be issued once we receive it."
E0035,Shipping,Shipping,0.869,1,85,True,"Yes, Ivy Novak — order ORD-39038 hasn't shipped yet, so I've updated the delivery address to Toronto on our end. You'll get a confirmation email once the change is locked in."
E0036,Refund,Refund,0.876,2,68,True,"I'm sorry for the delay, Ivy Novak. Refunds normally post within 5-7 business days, so 12 days is outside that window — I'm escalating order ORD-66057 to our payments team today and will confirm once the $242.17 has posted, with an update to you within 48 hours."
E0037,Login,Login,0.873,2,51,False,"That error is expected right after a domain change, Elena Diallo. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Pro plan. Let me know if it's still failing after that."
E0038,Cancellation,Cancellation,0.868,1,85,True,"Done, Leo Novak — since order ORD-52154 hasn't shipped yet I've cancelled it and started a refund of $329.08, which will post to your original payment method within 5-7 business days."
E0039,Refund,Refund,0.862,1,68,True,"I'm sorry for the delay, Aisha Kowalski. Refunds normally post within 5-7 business days, so 12 days is outside that window — I'm escalating order ORD-66531 to our payments team today and will confirm once the $43.34 has posted, with an update to you within 48 hours."
E0040,Cancellation,Cancellation,0.874,1,85,True,"Done, Aisha Diallo — since order ORD-72773 hasn't shipped yet I've cancelled it and started a refund of $385.35, which will post to your original payment method within 5-7 business days."
E0041,General Inquiry,General Inquiry,0.875,1,74,True,"Happy to help, Sofia Diallo — we're SOC 2 Type II certified with an annual audit and GDPR compliant; a signed DPA is available on request. I'll loop in our sales team who handle full security questionnaires directly."
E0042,Billing,Billing,0.868,1,68,True,"Great question, Maria Singh — switching the Elite plan to annual saves roughly 15% versus monthly, and you can make the change yourself from Settings > Billing > Change Plan. The switch is prorated and takes effect at your next renewal."
E0043,Login,Login,0.875,2,51,False,"That error is expected right after a domain change, Maria Singh. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Team plan. Let me know if it's still failing after that."
E0044,Billing,Billing,0.873,1,74,True,"Sofia Novak — I can confirm order ORD-11330 shows two charges of $224.23. I've reversed the duplicate charge; it will reflect on your statement within 3-5 business days, and the original charge remains as normal."
E0045,Login,Login,0.875,2,51,False,"That error is expected right after a domain change, Dana Singh. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Team plan. Let me know if it's still failing after that."
E0046,Product Feedback,Product Feedback,0.873,1,85,True,"Ha, you're not the first to ask, Mei Nair! Dark mode is a frequently requested item in our backlog, though there's no committed release date yet. I'll add your vote to the request."
E0047,Technical Bug,Technical Bug,0.855,1,79,True,"Sorry for the disruption, Ola Chen. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-69446 and will follow up with a timeline as soon as I have one."
E0048,Product Feedback,Product Feedback,0.89,1,81,True,"Thank you so much for writing in, Priya Chen — really glad the backpack is pulling its weight for your team. I'll pass this along, the team loves hearing this kind of thing!"
E0049,Product Feedback,Product Feedback,0.872,2,66,False,"I'm sorry — two weeks with no clear update isn't acceptable, Ola Kowalski, and I understand the frustration. I'm escalating this to engineering today rather than routing it back into the general queue, and I'll personally follow up within 24 hours with a real update."
E0050,Shipping,Shipping,0.871,1,90,True,"Sorry for the uncertainty, Ivy Nair — I checked order ORD-28894 and the carrier scan is delayed, though the package is still in transit toward Manchester. I've opened a trace with the carrier and will follow up within 24 hours with an updated delivery estimate."
E0051,Login,Login,0.87,2,51,False,"That error is expected right after a domain change, Ola Reyes. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Pro plan. Let me know if it's still failing after that."
E0052,Product Feedback,Product Feedback,0.874,1,85,True,"Ha, you're not the first to ask, Ivy Novak! Dark mode is a frequently requested item in our backlog, though there's no committed release date yet. I'll add your vote to the request."
E0053,Login,Login,0.873,1,75,True,"Sorry about that, Sam Tan — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward."
E0054,Refund,Refund,0.878,1,90,True,"I'm sorry your running shoes arrived damaged, Jonas Haddad. I've started a full refund of $27.07 for order ORD-14165; it will land back on your original payment method within 5-7 business days. You won't need to return the damaged item — please just dispose of it safely."
E0055,Technical Bug,Technical Bug,0.874,2,60,False,"Thanks for flagging this, Sam Reyes — a manual refresh of the specific screen (not a full app restart) usually pulls the latest sync immediately. If it's still stale after that, let me know and I'll escalate it as a sync-service issue."
E0056,Cancellation,Cancellation,0.879,1,85,True,"Done, Ivy Oliveira — since order ORD-80747 hasn't shipped yet I've cancelled it and started a refund of $102.99, which will post to your original payment method within 5-7 business days."
E0057,Login,Login,0.873,1,70,True,"Sorry about that, Ravi Singh — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward. lol"
E0058,Technical Bug,Technical Bug,0.874,2,60,False,"Thanks for flagging this, Sofia Singh — a manual refresh of the specific screen (not a full app restart) usually pulls the latest sync immediately. If it's still stale after that, let me know and I'll escalate it as a sync-service issue."
E0059,Billing,Billing,0.868,1,85,True,"Happy to help, Tariq Singh — you can download the invoice for order ORD-89516 anytime from Billing > Invoices in your account, and I've also attached a PDF copy here for your records. lol"
E0060,Product Feedback,Product Feedback,0.865,1,81,True,"Thank you so much for writing in, Maria Singh — really glad the noise-cancelling headphones is pulling its weight for your team. I'll pass this along, the team loves hearing this kind of thing!"
E0061,Shipping,Shipping,0.861,1,85,True,"I'm really sorry for the mix-up, Ivy Diallo. I'm shipping out the correct running shoes today at no extra cost for order ORD-28449, with expedited delivery, and you can keep or donate the item you received — no need to return it. lol"
E0062,Cancellation,Cancellation,0.856,2,50,False,"Sorry to hear the reporting has fallen short, Ivy Nair — I'd rather understand the gap than lose you over something fixable. Our higher tier includes more advanced analytics and a dedicated success manager; could we set up 20 minutes before your renewal to see if that closes the gap?"
E0063,General Inquiry,General Inquiry,0.872,1,68,True,"Happy to help, Aisha Reyes — we're SOC 2 Type II certified with an annual audit and GDPR compliant; a signed DPA is available on request. I'll loop in our sales team who handle full security questionnaires directly. lol"
E0064,Login,Login,0.87,2,51,False,"That error is expected right after a domain change, Renee Novak. As an admin, please re-verify the new domain under Settings > Security > SSO; it can take up to 15 minutes to propagate for everyone on the Elite plan. Let me know if it's still failing after that."
E0065,Shipping,Shipping,0.866,2,90,True,"I'm really sorry for the mix-up, Marcus Chen. I'm shipping out the correct monitor arm today at no extra cost for order ORD-67779, with expedited delivery, and you can keep or donate the item you received — no need to return it."
E0066,Refund,Refund,0.867,1,85,True,Aisha Diallo. I've started a full refund of $282.81 for order ORD-16006; it will land back on your original payment method within 5-7 business days. You won't need to return the damaged item — please just dispose of it safely.
E0067,Cancellation,Cancellation,0.866,1,85,True,"Done, Tariq Haddad — since order ORD-29558 hasn't shipped yet I've cancelled it and started a refund of $136.45, which will post to your original payment method within 5-7 business days."
E0068,Login,Login,0.875,2,68,True,"Sorry for the trouble, Marcus Haddad — this usually happens when an old session is cached. Please clear your browser cache or try a private/incognito window, then use the 'Forgot password' link once more; if it still fails, I can manually trigger a password reset from our side within the hour."
E0069,Technical Bug,Technical Bug,0.862,1,79,True,"Sorry for the disruption, Marcus Haddad. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-16705 and will follow up with a timeline as soon as I have one."
E0070,Shipping,Shipping,0.88,1,90,True,"I'm really sorry for the mix-up, Sam Diallo. I'm shipping out the correct backpack today at no extra cost for order ORD-22739, with expedited delivery, and you can keep or donate the item you received — no need to return it."
E0071,Technical Bug,Technical Bug,0.88,2,79,True,"Sorry for the disruption, Priya Reyes. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-92203 and will follow up with a timeline as soon as I have one."
E0072,Shipping,Shipping,0.872,1,85,True,"Yes, Priya Nair — order ORD-72781 hasn't shipped yet, so I've updated the delivery address to Manila on our end. You'll get a confirmation email once the change is locked in."
E0073,Login,Login,0.875,2,68,True,"Sorry for the trouble, Tariq Chen — this usually happens when an old session is cached. Please clear your browser cache or try a private/incognito window, then use the 'Forgot password' link once more; if it still fails, I can manually trigger a password reset from our side within the hour."
E0074,Technical Bug,Technical Bug,0.871,2,60,False,"Thanks for flagging this, Elena Novak — a manual refresh of the specific screen (not a full app restart) usually pulls the latest sync immediately. If it's still stale after that, let me know and I'll escalate it as a sync-service issue."
E0075,Technical Bug,Technical Bug,0.863,1,74,True,"Sorry for the disruption, Ravi Tan. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-52987 and will follow up with a timeline as soon as I have one. lol"
E0076,Cancellation,Cancellation,0.868,2,85,True,"Done, Noah Oliveira — since order ORD-53236 hasn't shipped yet I've cancelled it and started a refund of $108.16, which will post to your original payment method within 5-7 business days."
E0077,Refund,Refund,0.877,1,68,True,"I'm sorry for the delay, Priya Reyes. Refunds normally post within 5-7 business days, so 12 days is outside that window — I'm escalating order ORD-91416 to our payments team today and will confirm once the $419.37 has posted, with an update to you within 48 hours."
E0078,General Inquiry,General Inquiry,0.87,1,75,True,"Yes, Tariq Chen — there's a native Slack integration that can post to a channel for new or overdue items. An admin can turn it on from Settings > Integrations; happy to help with setup if useful."
E0079,Cancellation,Cancellation,0.871,1,85,True,"Done, Ola Singh — since order ORD-89026 hasn't shipped yet I've cancelled it and started a refund of $31.02, which will post to your original payment method within 5-7 business days."
E0080,Shipping,Shipping,0.871,1,90,True,"I'm really sorry for the mix-up, Priya Reyes. I'm shipping out the correct 4-person tent today at no extra cost for order ORD-47700, with expedited delivery, and you can keep or donate the item you received — no need to return it."
E0081,Login,Login,0.874,1,70,True,"Sorry about that, Renee Diallo — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward. lol"
E0082,Login,Login,0.874,1,70,True,"Mei Reyes — SMS 2FA codes can be delayed by carrier filtering. Try the 'resend as call' option, or switch to an authenticator app under Security Settings, which is instant and more reliable going forward."
E0083,Billing,Billing,0.867,1,68,True,"Great question, Grant Novak — switching the Premium subscription to annual saves roughly 15% versus monthly, and you can make the change yourself from Settings > Billing > Change Plan. The switch is prorated and takes effect at your next renewal."
E0084,Billing,Billing,0.872,1,68,True,"Great question, Jonas Chen — switching the Starter plan to annual saves roughly 15% versus monthly, and you can make the change yourself from Settings > Billing > Change Plan. The switch is prorated and takes effect at your next renewal."
E0085,General Inquiry,General Inquiry,0.874,1,68,True,"Happy to help, Ola Singh — we're SOC 2 Type II certified with an annual audit and GDPR compliant; a signed DPA is available on request. I'll loop in our sales team who handle full security questionnaires directly. lol"
E0086,Shipping,Shipping,0.869,1,85,True,"Sorry for the uncertainty, Priya Chen — I checked order ORD-49132 and the carrier scan is delayed, though the package is still in transit toward Nairobi. I've opened a trace with the carrier and will follow up within 24 hours with an updated delivery estimate. lol"
E0087,Technical Bug,Technical Bug,0.862,1,79,True,"Sorry for the disruption, Leo Reyes. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-26059 and will follow up with a timeline as soon as I have one."
E0088,Refund,Refund,0.847,1,90,True,"I'm sorry your noise-cancelling headphones arrived damaged, Priya Novak. I've started a full refund of $304.99 for order ORD-36062; it will land back on your original payment method within 5-7 business days. You won't need to return the damaged item — please just dispose of it safely."
E0089,Login,Login,0.869,1,68,True,"Sorry for the trouble, Marcus Kowalski — this usually happens when an old session is cached. Please clear your browser cache or try a private/incognito window, then use the 'Forgot password' link once more; if it still fails, I can manually trigger a password reset from our side within the hour."
E0090,General Inquiry,General Inquiry,0.872,1,74,True,"Happy to help, Mei Novak — we're SOC 2 Type II certified with an annual audit and GDPR compliant; a signed DPA is available on request. I'll loop in our sales team who handle full security questionnaires directly."
E0091,Shipping,Shipping,0.877,2,85,True,"Yes, Aisha Singh — order ORD-12799 hasn't shipped yet, so I've updated the delivery address to Nairobi on our end. You'll get a confirmation email once the change is locked in."
E0092,Technical Bug,Technical Bug,0.864,2,79,True,"Sorry for the disruption, Sam Reyes. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-36741 and will follow up with a timeline as soon as I have one."
E0093,Cancellation,Cancellation,0.867,2,85,True,"Done, Sam Kowalski — since order ORD-36624 hasn't shipped yet I've cancelled it and started a refund of $165.14, which will post to your original payment method within 5-7 business days."
E0094,Billing,Billing,0.861,1,79,True,"Sorry about that, Jonas Kowalski — I can confirm order ORD-72031 shows two charges of $239.16. I've reversed the duplicate charge; it will reflect on your statement within 3-5 business days, and the original charge remains as normal."
E0095,General Inquiry,General Inquiry,0.849,1,85,True,"Happy to help, Noah Haddad — the Starter plan includes our core features plus priority support; teams above 20 seats qualify for a volume discount. Want me to send over a formal quote for 25 seats so you have exact numbers? lol"
E0096,Refund,Refund,0.866,1,68,True,"I'm sorry for the delay, Chen Nair. Refunds normally post within 5-7 business days, so 12 days is outside that window — I'm escalating order ORD-56898 to our payments team today and will confirm once the $100.08 has posted, with an update to you within 48 hours."
E0097,Shipping,Shipping,0.877,1,85,True,"Sorry for the uncertainty, Elena Reyes — I checked order ORD-55236 and the carrier scan is delayed, though the package is still in transit toward Manila. I've opened a trace with the carrier and will follow up within 24 hours with an updated delivery estimate. lol"
E0098,General Inquiry,General Inquiry,0.871,1,75,True,"Yes, Marcus Kowalski — there's a native Slack integration that can post to a channel for new or overdue items. An admin can turn it on from Settings > Integrations; happy to help with setup if useful."
E0099,Cancellation,Cancellation,0.865,1,85,True,"Done, Marcus Novak — since order ORD-14433 hasn't shipped yet I've cancelled it and started a refund of $354.82, which will post to your original payment method within 5-7 business days."
E0100,Technical Bug,Technical Bug,0.83,2,79,True,"Sorry for the disruption, Mei Diallo. I don't have a documented root cause for this specific crash yet, so rather than guess, I've logged it with engineering as a priority bug referencing order ORD-26864 and will follow up with a timeline as soon as I have one."
